id,pair,arm,model,plan_sha256,run_config_sha256,questions_sha256,n_messages,n_reads
p009_asked,9,asked,google/gemma-3-12b-it,07e6a0aace95,89f1abe70f59,3e83030f34e6,100,50
p009_asked_other,9,asked_other,google/gemma-3-12b-it,07e6a0aace95,89f1abe70f59,3e83030f34e6,100,50
p009_task,9,task,google/gemma-3-12b-it,07e6a0aace95,89f1abe70f59,3e83030f34e6,100,50
p010_asked,10,asked,google/gemma-3-12b-it,07e6a0aace95,89f1abe70f59,3e83030f34e6,100,50
p010_asked_other,10,asked_other,google/gemma-3-12b-it,07e6a0aace95,89f1abe70f59,3e83030f34e6,100,50
p010_task,10,task,google/gemma-3-12b-it,07e6a0aace95,89f1abe70f59,3e83030f34e6,100,50
p011_asked,11,asked,google/gemma-3-12b-it,07e6a0aace95,89f1abe70f59,3e83030f34e6,100,50
p011_asked_other,11,asked_other,google/gemma-3-12b-it,07e6a0aace95,89f1abe70f59,3e83030f34e6,100,50
p011_task,11,task,google/gemma-3-12b-it,07e6a0aace95,89f1abe70f59,3e83030f34e6,100,50
p012_asked,12,asked,google/gemma-3-12b-it,07e6a0aace95,89f1abe70f59,3e83030f34e6,100,50
p012_asked_other,12,asked_other,google/gemma-3-12b-it,07e6a0aace95,89f1abe70f59,3e83030f34e6,100,50
p012_task,12,task,google/gemma-3-12b-it,07e6a0aace95,89f1abe70f59,3e83030f34e6,100,50
p013_asked,13,asked,google/gemma-3-12b-it,07e6a0aace95,89f1abe70f59,3e83030f34e6,100,50
p013_asked_other,13,asked_other,google/gemma-3-12b-it,07e6a0aace95,89f1abe70f59,3e83030f34e6,100,50
p013_task,13,task,google/gemma-3-12b-it,07e6a0aace95,89f1abe70f59,3e83030f34e6,100,50
p014_asked,14,asked,google/gemma-3-12b-it,07e6a0aace95,89f1abe70f59,3e83030f34e6,100,50
p014_asked_other,14,asked_other,google/gemma-3-12b-it,07e6a0aace95,89f1abe70f59,3e83030f34e6,100,50
p014_task,14,task,google/gemma-3-12b-it,07e6a0aace95,89f1abe70f59,3e83030f34e6,100,50
p015_asked,15,asked,google/gemma-3-12b-it,07e6a0aace95,89f1abe70f59,3e83030f34e6,100,50
p015_asked_other,15,asked_other,google/gemma-3-12b-it,07e6a0aace95,89f1abe70f59,3e83030f34e6,100,50
p015_task,15,task,google/gemma-3-12b-it,07e6a0aace95,89f1abe70f59,3e83030f34e6,100,50
p016_asked,16,asked,google/gemma-3-12b-it,07e6a0aace95,89f1abe70f59,3e83030f34e6,100,50
p016_asked_other,16,asked_other,google/gemma-3-12b-it,07e6a0aace95,89f1abe70f59,3e83030f34e6,100,50
p016_task,16,task,google/gemma-3-12b-it,07e6a0aace95,89f1abe70f59,3e83030f34e6,100,50
p017_asked,17,asked,google/gemma-3-12b-it,07e6a0aace95,89f1abe70f59,3e83030f34e6,100,50
p017_asked_other,17,asked_other,google/gemma-3-12b-it,07e6a0aace95,89f1abe70f59,3e83030f34e6,100,50
p017_task,17,task,google/gemma-3-12b-it,07e6a0aace95,89f1abe70f59,3e83030f34e6,100,50
p018_asked,18,asked,google/gemma-3-12b-it,07e6a0aace95,89f1abe70f59,3e83030f34e6,100,50
p018_asked_other,18,asked_other,google/gemma-3-12b-it,07e6a0aace95,89f1abe70f59,3e83030f34e6,100,50
p018_task,18,task,google/gemma-3-12b-it,07e6a0aace95,89f1abe70f59,3e83030f34e6,100,50
p019_asked,19,asked,google/gemma-3-12b-it,07e6a0aace95,89f1abe70f59,3e83030f34e6,100,50
p019_asked_other,19,asked_other,google/gemma-3-12b-it,07e6a0aace95,89f1abe70f59,3e83030f34e6,100,50
p019_task,19,task,google/gemma-3-12b-it,07e6a0aace95,89f1abe70f59,3e83030f34e6,100,50
