pair,arm,turn,pretreatment_null,n_ctx,n_active_features,sae_layer,sae_n_features
5,asked,20,False,2948,68,24,16384
5,asked,50,False,7310,65,24,16384
5,asked_other,0,True,39,73,24,16384
5,asked_other,5,False,836,61,24,16384
5,asked_other,20,False,3006,69,24,16384
5,asked_other,50,False,7359,64,24,16384
5,task,0,True,39,73,24,16384
5,task,5,False,530,68,24,16384
5,task,20,False,1782,69,24,16384
5,task,50,False,4369,70,24,16384
6,asked,0,True,39,73,24,16384
6,asked,5,False,893,60,24,16384
6,asked,20,False,3277,65,24,16384
6,asked,50,False,7931,65,24,16384
6,asked_other,0,True,39,73,24,16384
6,asked_other,5,False,909,60,24,16384
6,asked_other,20,False,3288,64,24,16384
6,asked_other,50,False,7955,60,24,16384
6,task,0,True,39,73,24,16384
6,task,5,False,631,65,24,16384
6,task,20,False,2150,60,24,16384
6,task,50,False,5017,63,24,16384
7,asked,0,True,39,73,24,16384
7,asked,5,False,692,68,24,16384
7,asked,20,False,3016,71,24,16384
7,asked,50,False,7288,68,24,16384
7,asked_other,0,True,39,73,24,16384
7,asked_other,5,False,702,72,24,16384
7,asked_other,20,False,3035,69,24,16384
7,asked_other,50,False,7348,69,24,16384
7,task,0,True,39,73,24,16384
7,task,5,False,409,57,24,16384
7,task,20,False,1841,70,24,16384
7,task,50,False,4277,68,24,16384
8,asked,0,True,39,73,24,16384
8,asked,5,False,978,56,24,16384
8,asked,20,False,3263,71,24,16384
8,asked,50,False,7864,64,24,16384
8,asked_other,0,True,39,73,24,16384
8,asked_other,5,False,998,62,24,16384
8,asked_other,20,False,3333,70,24,16384
8,asked_other,50,False,7996,66,24,16384
8,task,0,True,39,73,24,16384
8,task,5,False,688,70,24,16384
8,task,20,False,2017,67,24,16384
8,task,50,False,4719,67,24,16384
9,asked,0,True,39,73,24,16384
9,asked,5,False,685,66,24,16384
9,asked,20,False,2839,68,24,16384
9,asked,50,False,7182,67,24,16384
9,asked_other,0,True,39,73,24,16384
9,asked_other,5,False,704,66,24,16384
9,asked_other,20,False,2903,70,24,16384
9,asked_other,50,False,7320,68,24,16384
9,task,0,True,39,73,24,16384
9,task,5,False,383,70,24,16384
9,task,20,False,1647,76,24,16384
9,task,50,False,4291,73,24,16384
10,asked,0,True,39,73,24,16384
10,asked,5,False,881,66,24,16384
10,asked,20,False,3015,69,24,16384
10,asked,50,False,7313,65,24,16384
10,asked_other,0,True,39,73,24,16384
10,asked_other,5,False,901,64,24,16384
10,asked_other,20,False,3172,70,24,16384
10,asked_other,50,False,7707,65,24,16384
10,task,0,True,39,73,24,16384
10,task,5,False,637,58,24,16384
10,task,20,False,1990,59,24,16384
10,task,50,False,4652,69,24,16384
11,asked,0,True,39,73,24,16384
11,asked,5,False,910,57,24,16384
11,asked,20,False,3327,59,24,16384
11,asked,50,False,8087,55,24,16384
11,asked_other,0,True,39,73,24,16384
11,asked_other,5,False,878,60,24,16384
11,asked_other,20,False,3295,57,24,16384
11,asked_other,50,False,8036,58,24,16384
11,task,0,True,39,73,24,16384
11,task,5,False,619,57,24,16384
11,task,20,False,2033,53,24,16384
11,task,50,False,4883,61,24,16384
12,asked,0,True,39,73,24,16384
12,asked,5,False,765,68,24,16384
12,asked,20,False,3004,75,24,16384
12,asked,50,False,7429,72,24,16384
12,asked_other,0,True,39,73,24,16384
12,asked_other,5,False,768,71,24,16384
12,asked_other,20,False,3022,73,24,16384
12,asked_other,50,False,7483,68,24,16384
12,task,0,True,39,73,24,16384
12,task,5,False,502,72,24,16384
12,task,20,False,1835,73,24,16384
12,task,50,False,4561,69,24,16384
13,asked,0,True,39,73,24,16384
13,asked,5,False,1027,75,24,16384
13,asked,20,False,3949,66,24,16384
13,asked,50,False,9497,65,24,16384
13,asked_other,0,True,39,73,24,16384
13,asked_other,5,False,894,69,24,16384
13,asked_other,20,False,3122,68,24,16384
13,asked_other,50,False,7507,62,24,16384
13,task,0,True,39,73,24,16384
13,task,5,False,614,69,24,16384
13,task,20,False,2004,74,24,16384
13,task,50,False,4977,72,24,16384
14,asked,0,True,39,73,24,16384
14,asked,5,False,930,56,24,16384
14,asked,20,False,3334,64,24,16384
14,asked,50,False,8071,58,24,16384
14,asked_other,0,True,39,73,24,16384
14,asked_other,5,False,1005,54,24,16384
14,asked_other,20,False,3582,58,24,16384
14,asked_other,50,False,8612,50,24,16384
14,task,0,True,39,73,24,16384
14,task,5,False,625,60,24,16384
14,task,20,False,2138,55,24,16384
14,task,50,False,4913,58,24,16384
15,asked,0,True,39,73,24,16384
15,asked,5,False,810,64,24,16384
15,asked,20,False,3079,71,24,16384
15,asked,50,False,7341,68,24,16384
15,asked_other,0,True,39,73,24,16384
15,asked_other,5,False,744,66,24,16384
15,asked_other,20,False,3020,76,24,16384
15,asked_other,50,False,7374,68,24,16384
15,task,0,True,39,73,24,16384
15,task,5,False,496,72,24,16384
15,task,20,False,1938,73,24,16384
15,task,50,False,4540,77,24,16384
16,asked,0,True,39,73,24,16384
16,asked,5,False,871,62,24,16384
16,asked,20,False,3113,64,24,16384
16,asked,50,False,7725,70,24,16384
16,asked_other,0,True,39,73,24,16384
16,asked_other,5,False,841,65,24,16384
16,asked_other,20,False,3108,65,24,16384
16,asked_other,50,False,7711,69,24,16384
16,task,0,True,39,73,24,16384
16,task,5,False,547,57,24,16384
16,task,20,False,1970,56,24,16384
16,task,50,False,4808,55,24,16384
17,asked,0,True,39,73,24,16384
17,asked,5,False,854,67,24,16384
17,asked,20,False,3142,76,24,16384
17,asked,50,False,7628,70,24,16384
17,asked_other,0,True,39,73,24,16384
17,asked_other,5,False,838,69,24,16384
17,asked_other,20,False,3113,73,24,16384
17,asked_other,50,False,7632,69,24,16384
17,task,0,True,39,73,24,16384
17,task,5,False,560,77,24,16384
17,task,20,False,1888,77,24,16384
17,task,50,False,4525,69,24,16384
18,asked,0,True,39,73,24,16384
18,asked,5,False,783,67,24,16384
18,asked,20,False,2962,76,24,16384
18,asked,50,False,7372,68,24,16384
18,asked_other,0,True,39,73,24,16384
18,asked_other,5,False,789,69,24,16384
18,asked_other,20,False,3010,76,24,16384
18,asked_other,50,False,7490,70,24,16384
18,task,0,True,39,73,24,16384
18,task,5,False,581,67,24,16384
18,task,20,False,1837,69,24,16384
18,task,50,False,4504,65,24,16384
19,asked,0,True,39,73,24,16384
19,asked,5,False,753,62,24,16384
19,asked,20,False,2871,68,24,16384
19,asked,50,False,7238,62,24,16384
19,asked_other,0,True,39,73,24,16384
19,asked_other,5,False,785,61,24,16384
19,asked_other,20,False,2934,66,24,16384
19,asked_other,50,False,7358,66,24,16384
19,task,0,True,39,73,24,16384
19,task,5,False,530,57,24,16384
19,task,20,False,1830,66,24,16384
19,task,50,False,4623,74,24,16384
